pygame 2.6.0 (SDL 2.28.4, Python 3.10.12)
Hello from the pygame community. https://www.pygame.org/contribute.html
         559548 function calls (554776 primitive calls) in 16.212 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
       22    0.000    0.000    0.000    0.000 pyparsing.py:2813(parseImpl)
       16    0.000    0.000    0.004    0.000 __init__.py:2046(find_on_path)
        5    0.000    0.000    0.000    0.000 asteroidfield.py:15(<lambda>)
       76    0.000    0.000    0.000    0.000 pyparsing.py:1351(preParse)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1587(_fill_cache)
        1    0.000    0.000    0.006    0.006 zipfile.py:1(<module>)
       20    0.000    0.000    0.000    0.000 posixpath.py:100(split)
      242    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
       26    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
        1    0.000    0.000    0.001    0.001 signal.py:1(<module>)
      154    0.000    0.000    0.000    0.000 sre_compile.py:477(_get_iscased)
       45    0.000    0.000    0.000    0.000 pyparsing.py:1190(setName)
        1    0.000    0.000    0.003    0.003 pathlib.py:1(<module>)
      196    0.000    0.000    0.000    0.000 typing.py:1022(<genexpr>)
       12    0.000    0.000    0.000    0.000 posixpath.py:150(dirname)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1494(__init__)
    36/11    0.000    0.000    0.003    0.000 pyparsing.py:3743(leaveWhitespace)
       24    0.000    0.000    0.000    0.000 enum.py:579(_get_mixins_)
      435    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
        1    0.000    0.000    0.004    0.004 tags.py:1(<module>)
      104    0.000    0.000    0.000    0.000 traceback.py:309(walk_stack)
        8    0.000    0.000    0.000    0.000 enum.py:626(_find_new_)
       78    0.000    0.000    0.000    0.000 linecache.py:147(lazycache)
        1    0.000    0.000    0.003    0.003 subprocess.py:1(<module>)
      147    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       30    0.000    0.000    0.000    0.000 typing.py:1147(copy_with)
       21    0.000    0.000    0.000    0.000 pyparsing.py:2707(parseImpl)
       78    0.000    0.000    0.001    0.000 linecache.py:36(getlines)
       83    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1040(__init__)
    18/15    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:1053(_handle_fromlist)
       22    0.000    0.000    0.000    0.000 abc.py:105(__new__)
      195    0.000    0.000    0.000    0.000 pyparsing.py:3392(<genexpr>)
       13    0.000    0.000    0.000    0.000 typing.py:1138(__getitem__)
       87    0.000    0.000    0.000    0.000 typing.py:515(<genexpr>)
